TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BPAC3;14,08;0,89;26,51;4,46;0,52;33,71;47,41;37,49;20,96;12,17;;;9,94;8,47;-1,60;1,10;16,84;1,98;;0,12;0,88;0,05;5,25;5,86;154.123,19;3,25;0,55;0,29;96.306.223.797,36
BPAC5;5,14;2,40;9,78;1,65;0,19;33,71;47,41;37,49;7,73;12,17;;;3,67;3,13;-0,59;1,10;16,84;1,98;;0,12;0,88;0,05;5,25;5,86;75.235,77;3,25;0,55;0,11;96.306.223.797,36
BPAN4;10,20;2,17;17,37;2,32;0,28;62,54;10,64;7,39;12,07;12,11;;;1,28;56,71;-0,50;1,01;13,36;1,60;;0,12;0,88;0,22;1,40;;66.165.549,88;4,44;0,59;0,96;13.207.023.748,65
BPAR3;182,07;5,69;7,18;1,06;0,14;72,40;24,07;13,11;3,91;3,91;;;0,94;1,75;-0,15;;14,72;1,93;;0,13;0,87;0,15;4,66;0,84;;172,10;25,34;201,51;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;29,66;24,01;1,44;1,55;1,54;;;;1,45;1,54;-0,04;-0,04;;47,61;-1,60;5,89;107,68;106,96;106,86;0,99;0,01;0,00;;66,61;6.104.167,27;19,09;20,55;0,00;12.712.708.659,22
BRAP4;33,53;23,23;1,64;1,76;1,75;;;;1,65;1,54;-0,04;-0,04;;54,11;-1,82;5,89;107,68;106,96;106,86;0,99;0,01;0,00;;66,61;187.415.670,12;19,09;20,55;0,00;12.712.708.659,22
BRBI11;17,13;4,74;12,93;2,34;0,59;94,47;45,15;61,19;17,53;8,62;-9,02;-1,20;7,91;2,29;-46,90;1,35;18,07;4,55;0,78;0,25;0,75;0,07;;;3.851.599,23;7,31;1,32;0,56;1.773.377.440,56
BRBI3;0,00;;0,00;0,00;0,00;94,47;45,15;61,19;0,00;8,62;-9,02;-1,20;0,00;0,00;0,00;1,35;18,07;4,55;0,78;0,25;0,75;0,07;;;;2,44;0,44;0,00;1.773.377.440,56
